Name,ID,Gender,Age,Country,Genres,Popularity,Followers,URI
MONGOL800,2zUQjYvy0TevSi4d3PjqQO,mixed,20,JP,"['j-pop', 'j-punk', 'j-rock', 'japanese punk rock', 'okinawan pop']",50,755512,spotify:artist:2zUQjYvy0TevSi4d3PjqQO
Rap Box,5FEcNzwbLj2pvhgZFojYAp,male,0,BR,['brazilian hip hop'],55,82998,spotify:artist:5FEcNzwbLj2pvhgZFojYAp
Orgânico,5UOOgRWguRmVZo1voJuQpf,male,0,BR,['pop rap brasileiro'],53,263739,spotify:artist:5UOOgRWguRmVZo1voJuQpf
Alkilados,2DP9xStkVVv753RBiEHXQB,mixed,10,CO,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",52,2147425,spotify:artist:2DP9xStkVVv753RBiEHXQB
Michael Dutchi Libranda,6ZdzYE3CEgY0Umgi3Dsgv8,male,0,,['opm'],42,265552,spotify:artist:6ZdzYE3CEgY0Umgi3Dsgv8
Michel Teló,1sDVuztNhGcetCLChkleDA,male,39,BR,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",61,3310739,spotify:artist:1sDVuztNhGcetCLChkleDA
Tiger Shroff,3fRSA5zbD43VMmgwW84rOo,mixed,15,US,['modern bollywood'],39,120340,spotify:artist:3fRSA5zbD43VMmgwW84rOo
Remmy Valenzuela,4stSxe6AbpXw3x7nRDsYVX,male,28,MX,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']",64,1687441,spotify:artist:4stSxe6AbpXw3x7nRDsYVX
Thomas Stenström,2DWNa2o3BbsIHeBq7Iu6E7,male,32,SE,['swedish pop'],57,77771,spotify:artist:2DWNa2o3BbsIHeBq7Iu6E7
Akhil Sachdeva,3TOhzLRYnkkul71yRBxIoM,male,0,,"['desi pop', 'filmi', 'modern bollywood']",59,449797,spotify:artist:3TOhzLRYnkkul71yRBxIoM
BØRNS,1KP6TWI40m7p3QBTU6u2xo,male,28,,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pov: indie']",65,1221843,spotify:artist:1KP6TWI40m7p3QBTU6u2xo
Kim Cesarion,1FbsmLXvj5CccZj6JLk46Z,male,29,SE,"['swedish pop', 'swedish soul']",35,37362,spotify:artist:1FbsmLXvj5CccZj6JLk46Z
13 Block,7rTPCNINGzMp3Hc8Xqht5Z,,0,,"['french hip hop', 'pop urbaine', 'rap francais']",48,742983,spotify:artist:7rTPCNINGzMp3Hc8Xqht5Z
Agust D,5RmQ8k4l3HZ8JoPb4mNsML,male,27,KR,['k-rap'],72,13452794,spotify:artist:5RmQ8k4l3HZ8JoPb4mNsML
Aastha Gill,1BYjhAClGpBTLZfics0VRZ,female,0,,"['desi pop', 'filmi', 'modern bollywood']",61,4035380,spotify:artist:1BYjhAClGpBTLZfics0VRZ
Pasi ja Anssi,5Ptz1xkszwS7JBksmx8gMt,mixed,0,FI,"['finnish dance pop', 'finnish hip hop']",43,25444,spotify:artist:5Ptz1xkszwS7JBksmx8gMt
Bugzy Malone,4Dokdwa3WB7ilQ2c2qvIBL,male,29,GB,"['grime', 'manchester hip hop', 'uk hip hop']",60,848734,spotify:artist:4Dokdwa3WB7ilQ2c2qvIBL
Yxng Le,3Ptyea6E1lJgg6W64f0OQa,male,0,,"['dutch hip hop', 'dutch rap pop']",45,15695,spotify:artist:3Ptyea6E1lJgg6W64f0OQa
Fard,7iZ5x5fwRwROoX3iRWpVgN,male,36,,['german hip hop'],49,462078,spotify:artist:7iZ5x5fwRwROoX3iRWpVgN
Ali Bumaye,6hMNiBKUQFKpnZ7GTvLVZf,,0,,['german hip hop'],42,189508,spotify:artist:6hMNiBKUQFKpnZ7GTvLVZf
Kalle Lindroth,49PPHx2WvBFfsk6RKE0lCi,male,30,FI,['finnish pop'],38,1120,spotify:artist:49PPHx2WvBFfsk6RKE0lCi
Adema,3n4ersmDo55xV4fPSCKpXb,mixed,25,US,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal']",42,285164,spotify:artist:3n4ersmDo55xV4fPSCKpXb
Belly,0FOWNUFHPnMy0vOw1siGqi,mixed,29,US,"['canadian hip hop', 'canadian trap']",55,243920,spotify:artist:0FOWNUFHPnMy0vOw1siGqi
"Alejandro ""Mosty"" Patiño",4iDI9qh9SzcTm6vZeTT258,male,0,CO,[],35,176,spotify:artist:4iDI9qh9SzcTm6vZeTT258
Os Parazim,0jhNzTzC1CZaf2FFgBVCMT,mixed,0,,['sertanejo pop'],52,76673,spotify:artist:0jhNzTzC1CZaf2FFgBVCMT
Kaan Boşnak,03cvjFEHz8eGwYHq1L0Pp2,male,29,US,"['turkish alt pop', 'turkish rock']",56,1013938,spotify:artist:03cvjFEHz8eGwYHq1L0Pp2
Gabrielle Aplin,3w6zswp5THsSKYLICUbDTZ,female,50,GB,"['acoustic pop', 'indie anthem-folk', 'neo-singer-songwriter', 'uk pop', 'viral pop']",55,687405,spotify:artist:3w6zswp5THsSKYLICUbDTZ
Mark Lindsay,7kEOMdsEmZkTHgA4ibDz4h,male,0,US,['bubblegum pop'],34,11952,spotify:artist:7kEOMdsEmZkTHgA4ibDz4h
Sweet,3JaAGmSTpJK35DqWrDUzBz,mixed,52,GB,"['album rock', 'glam rock', 'hard rock']",53,443655,spotify:artist:3JaAGmSTpJK35DqWrDUzBz
Luis Alfonso Partida El Yaki,5l6N2hoIaP7snXdjnCULvk,male,42,PR,"['banda', 'musica mexicana', 'sierreno']",62,279128,spotify:artist:5l6N2hoIaP7snXdjnCULvk
Julian Perretta,2JLl6rSFWx9YuSPLcLhkAG,male,31,GB,['uk pop'],62,32812,spotify:artist:2JLl6rSFWx9YuSPLcLhkAG
Ersay Üner,6kf7koRM31Dgsj2WbByZpB,male,0,TR,['turkish pop'],45,495851,spotify:artist:6kf7koRM31Dgsj2WbByZpB
Harrdy Sandhu,4ITkqBlf5eoVCOFwsJCnqo,,0,,"['desi pop', 'filmi', 'punjabi pop']",64,8082368,spotify:artist:4ITkqBlf5eoVCOFwsJCnqo
Adhitia Sofyan,3UlOKNAlGyi7POSE9kyhfR,male,0,,"['indonesian folk', 'indonesian folk pop', 'indonesian indie', 'indonesian singer-songwriter']",49,400552,spotify:artist:3UlOKNAlGyi7POSE9kyhfR
Nathan Sykes,2Rf4X6m0oayCJhaJ5K63GQ,male,27,GB,"['post-teen pop', 'talent show', 'teen pop']",52,468640,spotify:artist:2Rf4X6m0oayCJhaJ5K63GQ
Jhorrmountain,3aAX2y0amckZ7WcWoz2f2o,,0,,['dutch hip hop'],49,5428,spotify:artist:3aAX2y0amckZ7WcWoz2f2o
Rozalén,5soMpG6E6oApEiCZgrWeVz,female,34,ES,"['cantautor', 'spanish pop']",61,818449,spotify:artist:5soMpG6E6oApEiCZgrWeVz
Walking On Cars,632WMoQfBWk76kBz7vMXNg,mixed,9,,"['indie anthem-folk', 'irish rock']",45,199766,spotify:artist:632WMoQfBWk76kBz7vMXNg
Aimer,0bAsR2unSRpn6BQPEnNlZm,female,30,JP,"['anime', 'anime rock', 'j-pixie', 'j-pop', 'j-poprock']",64,2392783,spotify:artist:0bAsR2unSRpn6BQPEnNlZm
Lute,75WcpJKWXBV3o3cfluWapK,male,31,US,"['indie hip hop', 'north carolina hip hop', 'underground hip hop']",57,207205,spotify:artist:75WcpJKWXBV3o3cfluWapK
Ari Lasso,1sqYIwXAmhrcSTsYmsTFAr,male,47,ID,"['indonesian pop', 'indonesian pop rock']",57,1641980,spotify:artist:1sqYIwXAmhrcSTsYmsTFAr
Ambjaay,3BbPRvYQ0M9SFmhkHXozLm,male,0,,"['cali rap', 'viral rap']",40,43764,spotify:artist:3BbPRvYQ0M9SFmhkHXozLm
The NGHBRS,2YYAp30sXeDAKiTLMfKGTT,,0,,"['chill house', 'la pop']",43,1903,spotify:artist:2YYAp30sXeDAKiTLMfKGTT
SJUR,1X6dfPmF8f5C5EW3WIGfvm,male,0,,['scandipop'],32,30575,spotify:artist:1X6dfPmF8f5C5EW3WIGfvm
Mad Clip,3KcZf8BFeFBtnGyOZmUggd,male,0,ES,"['greek hip hop', 'greek trap']",58,681575,spotify:artist:3KcZf8BFeFBtnGyOZmUggd
YOASOBI,64tJ2EAv1R6UaZqc4iOCyj,mixed,0,,"['j-pop', 'japanese teen pop']",75,6890399,spotify:artist:64tJ2EAv1R6UaZqc4iOCyj
Shayne Orok,1MQ48GaF9nanTisRGu3Mtl,female,0,,['otacore'],51,429881,spotify:artist:1MQ48GaF9nanTisRGu3Mtl
KAYEF,4hXT6A14n901v8DU5Of337,,0,,"['german pop', 'german r&b']",54,199108,spotify:artist:4hXT6A14n901v8DU5Of337
Eva Simons,2d6W4cnC5XsVOaxtgaj9hA,female,36,NL,['dutch pop'],50,93379,spotify:artist:2d6W4cnC5XsVOaxtgaj9hA
Enzo Dong,7iCdyOeJYk06mKJ6nLrFQ6,male,0,IT,"['italian hip hop', 'rap napoletano']",47,329779,spotify:artist:7iCdyOeJYk06mKJ6nLrFQ6
Burhan G,14nVYgOiwVBJIEATXIDYC8,male,37,DK,['danish pop'],55,119411,spotify:artist:14nVYgOiwVBJIEATXIDYC8
Missy Elliott,2wIVse2owClT7go1WT98tk,female,49,US,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']",69,2361726,spotify:artist:2wIVse2owClT7go1WT98tk
Ele A El Dominio,4SzD0wClEg9NKVJZbCRFqS,male,0,PR,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",63,1754514,spotify:artist:4SzD0wClEg9NKVJZbCRFqS
Craig Pruess & Ananda,4ntmrafQBL0Ar8VtOOu5sx,mixed,26,FR,"['kirtan', 'meditation']",39,21936,spotify:artist:4ntmrafQBL0Ar8VtOOu5sx
Joker Beats,7tsmrNpbLkT4xL1nzRLpCu,female,0,BR,[],34,4195,spotify:artist:7tsmrNpbLkT4xL1nzRLpCu
Peter Jöback,3fA5zBQWEa0uzYo43SvXaj,male,49,SE,"['classic swedish pop', 'swedish pop']",54,82685,spotify:artist:3fA5zBQWEa0uzYo43SvXaj
Ceky Viciny,5UopXhshFFqRIMfeZrBclq,,0,DO,"['dembow', 'rap dominicano']",48,175000,spotify:artist:5UopXhshFFqRIMfeZrBclq
Diljit Dosanjh,2FKWNmZWDBZR4dE5KX4plR,male,36,IN,"['filmi', 'modern bollywood', 'punjabi pop']",74,18545897,spotify:artist:2FKWNmZWDBZR4dE5KX4plR
Larry Walsh,507LPYi8Dm9gZdTbT3NjeD,male,0,US,[],20,66,spotify:artist:507LPYi8Dm9gZdTbT3NjeD
Howie Day,0ekbDNE2eOq8QiaXM34wer,male,39,US,"['acoustic pop', 'neo mellow', 'pop rock']",50,333409,spotify:artist:0ekbDNE2eOq8QiaXM34wer
Eli Palacios,06U8PS34QCpLW3CqwJgfj2,male,0,,[],44,1567,spotify:artist:06U8PS34QCpLW3CqwJgfj2
Redfoo,3mH3OBKopDDVgnJcT5PrPk,male,44,US,[],48,412713,spotify:artist:3mH3OBKopDDVgnJcT5PrPk
Nathan Dawe,2gduEC76ry33RVurAvT05p,male,0,GB,"['pop dance', 'uk dance']",64,102749,spotify:artist:2gduEC76ry33RVurAvT05p
Sansar Salvo,6hxb4rGrYXtrAZbUK7uzt9,male,0,TR,['turkish hip hop'],51,392735,spotify:artist:6hxb4rGrYXtrAZbUK7uzt9
A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,male,53,IN,['filmi'],77,41915296,spotify:artist:1mYsTxnqsietFxj1OgoGbG
Cristiano Araújo,4HF14RSTZQcEafvfPCFEpI,male,29,BR,"['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",60,4803242,spotify:artist:4HF14RSTZQcEafvfPCFEpI
PSICOLOGI,0fskdccy6fvnWMNMNPqEro,mixed,0,IT,"['italian hip hop', 'italian pop', 'rome indie']",56,685309,spotify:artist:0fskdccy6fvnWMNMNPqEro
M-22,4WFtYn5RyU8VGPpPyW9Pxw,mixed,0,,"['house', 'pop dance']",45,89404,spotify:artist:4WFtYn5RyU8VGPpPyW9Pxw
Muşta,7lJmtLRTNOIYB1vh1ZlwsX,male,0,TR,"['turkish hip hop', 'turkish trap']",36,197624,spotify:artist:7lJmtLRTNOIYB1vh1ZlwsX
Tommy Körberg,6R21HSNyo7HVac8pyqY3T2,male,72,SE,['classic swedish pop'],54,78613,spotify:artist:6R21HSNyo7HVac8pyqY3T2
bülow,5vBrKGOjN10BMwB0cJADj4,female,20,NL,"['alt z', 'indietronica']",49,572432,spotify:artist:5vBrKGOjN10BMwB0cJADj4
GASHI,0JOxt5QOwq0czoJxvSc5hS,male,30,US,['canadian hip hop'],52,242533,spotify:artist:0JOxt5QOwq0czoJxvSc5hS
Herman Flesvig,2O7tfbCNrhxx94RG2An1q9,male,74,US,[],30,28197,spotify:artist:2O7tfbCNrhxx94RG2An1q9
Lirico En La Casa,1Vr7DTbtTpOp4tn4hAGOYo,male,0,,"['dembow', 'rap dominicano']",57,217536,spotify:artist:1Vr7DTbtTpOp4tn4hAGOYo
Deeperise,0ZRQKFaYGEtbLc8NbyICoe,,0,,"['turkish deep house', 'turkish pop']",51,349604,spotify:artist:0ZRQKFaYGEtbLc8NbyICoe
Catfish and the Bottlemen,2xaAOVImG2O6lURwqperlD,mixed,0,GB,"['modern alternative rock', 'modern rock', 'stomp pop', 'welsh rock']",63,1021925,spotify:artist:2xaAOVImG2O6lURwqperlD
Cherrie,59E9dYtwLTUAGuAppwFKAW,female,0,SE,"['scandinavian r&b', 'swedish dancehall', 'swedish drill', 'swedish hip hop', 'swedish pop', 'swedish trap pop']",45,45953,spotify:artist:59E9dYtwLTUAGuAppwFKAW
Gedz,1MZ1TtfmzMHEYIlynXsr1a,,0,PL,"['polish hip hop', 'polish trap']",50,186360,spotify:artist:1MZ1TtfmzMHEYIlynXsr1a
Arttu Lindeman,0AK0qOs8ykb6CsaYks1xwK,male,0,,"['finnish dance pop', 'finnish hip hop', 'finnish pop']",28,32979,spotify:artist:0AK0qOs8ykb6CsaYks1xwK
Maverick Sabre,0ukgrNYk51TkMQr0f2Br4Q,male,30,GB,['irish hip hop'],57,267056,spotify:artist:0ukgrNYk51TkMQr0f2Br4Q
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,male,0,GB,"['house', 'uk dance']",51,95714,spotify:artist:26OrZl5U3VNGHU9qUj8EcM
Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,mixed,6,,['edm'],65,736519,spotify:artist:586uxXMyD5ObPuzjtrzO1Q
Aleksanteri Hakaniemi,2KGbvHE2WfRazq4yE3pcWi,male,25,FI,"['finnish dance pop', 'finnish hip hop', 'finnish pop', 'finnish pop punk']",32,11410,spotify:artist:2KGbvHE2WfRazq4yE3pcWi
Pj Sin Suela,0AdjzZxHJ4MfbImx2rD0Df,male,0,,"['puerto rican rock', 'reggae en espanol']",54,70625,spotify:artist:0AdjzZxHJ4MfbImx2rD0Df
Sal Priadi,1NjxFrpEGZTV2Ny0OJxeWu,male,28,,"['indonesian indie', 'indonesian pop', 'malang indie']",63,464073,spotify:artist:1NjxFrpEGZTV2Ny0OJxeWu
Jaira Burns,0tRFWXqKBBQcu5oFVOgVzX,female,23,,['alt z'],58,463349,spotify:artist:0tRFWXqKBBQcu5oFVOgVzX
K/DA,4gOc8TsQed9eqnqJct2c5v,mixed,1,,['k-pop girl group'],63,2166479,spotify:artist:4gOc8TsQed9eqnqJct2c5v
MC's Zaac,13ySOy7rghkjVk5f5ChBW8,male,0,BR,[],45,5752,spotify:artist:13ySOy7rghkjVk5f5ChBW8
1LUM3,01JSyuJJh1WCHIuM3Zx7hn,,0,,['nova musica paulista'],49,6699,spotify:artist:01JSyuJJh1WCHIuM3Zx7hn
6cyclemind,3nZa8vRD64ueq3d0JNYTsl,mixed,19,PH,['opm'],51,1339676,spotify:artist:3nZa8vRD64ueq3d0JNYTsl
Rayi Putra,3FduEXHFSq8Hboekc8JMUR,male,33,ID,"['indonesian hip hop', 'indonesian pop']",43,47781,spotify:artist:3FduEXHFSq8Hboekc8JMUR
Emil Stabil,2toxhc2iSbFHWgy3VMnqR7,male,0,DK,"['danish hip hop', 'danish pop']",37,25985,spotify:artist:2toxhc2iSbFHWgy3VMnqR7
Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,mixed,10,IS,"['folk-pop', 'metropopolis', 'modern rock', 'stomp and holler']",65,3532756,spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz
Crowd Lu,2JBUyLiFvpFPWdZGqIGYLD,male,35,TW,"['mandopop', 'taiwan indie', 'taiwan singer-songwriter']",52,460491,spotify:artist:2JBUyLiFvpFPWdZGqIGYLD
Day e Lara,0vsVZPe7ziQLQ3eqwUTc4H,female,25,BR,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",38,555508,spotify:artist:0vsVZPe7ziQLQ3eqwUTc4H
Natalia Lacunza,3Zs59sqZJ6fWQqWbRC8bOP,female,21,ES,['latin talent show'],54,217116,spotify:artist:3Zs59sqZJ6fWQqWbRC8bOP
Adi L Hasla,2Hnqmn6bAxVSYf70M2aSkk,male,0,FI,"['finnish dance pop', 'finnish hip hop']",34,12308,spotify:artist:2Hnqmn6bAxVSYf70M2aSkk
Dr. Bellido,52wHLjXBRtdLP9VXX4Uosn,,0,,['electro latino'],37,60944,spotify:artist:52wHLjXBRtdLP9VXX4Uosn
Family of the Year,7zsin6IgVsR1rqSRCNYDwq,mixed,11,US,['stomp and holler'],47,152255,spotify:artist:7zsin6IgVsR1rqSRCNYDwq
Blizzy,1TbDo0Y2gGOd2GnoCQNsyz,,0,SE,[],0,22,spotify:artist:1TbDo0Y2gGOd2GnoCQNsyz
Marcellus TheSinger,1qUNuw7pQl8Eg8HHkjOcr5,male,42,ID,['southern soul blues'],37,6613,spotify:artist:1qUNuw7pQl8Eg8HHkjOcr5
Céline Dion,4S9EykWXhStSc15wEx8QFK,female,52,CA,['canadian pop'],73,7915000,spotify:artist:4S9EykWXhStSc15wEx8QFK
Bozza,4WoSAKuoaPxrbwp3Y1PvKb,male,0,DE,"['german hip hop', 'german underground rap']",52,72479,spotify:artist:4WoSAKuoaPxrbwp3Y1PvKb
Chris Lane,68abRTdO4meYReMWHvBYb0,male,35,,"['contemporary country', 'country', 'country road', 'modern country rock']",55,995638,spotify:artist:68abRTdO4meYReMWHvBYb0
Hooligan Hefs,1VXE1xqGNlT9HG6TcjpQ9I,,0,,"['aussie drill', 'australian trap']",55,243989,spotify:artist:1VXE1xqGNlT9HG6TcjpQ9I
Yksi Totuus,6WhRNmekAnpW3ae3Nlu1xw,mixed,0,FI,"['finnish dance pop', 'finnish hip hop']",37,8663,spotify:artist:6WhRNmekAnpW3ae3Nlu1xw
Puritano,1DRmznzLP5EnFFGo4h1ZyW,male,25,,[],33,2693,spotify:artist:1DRmznzLP5EnFFGo4h1ZyW
Slow Motion,6jmHuLfbWlq34KedQ7mA5I,,0,,"['brazilian edm', 'relaxative']",52,16496,spotify:artist:6jmHuLfbWlq34KedQ7mA5I
Wizzard,7823Dim2TzjiQQ9wRQxyi9,mixed,48,GB,['glam rock'],59,44521,spotify:artist:7823Dim2TzjiQQ9wRQxyi9
Izzy Bizu,6b5YOgXIliAozdo49vUCJQ,female,26,GB,['british soul'],50,184575,spotify:artist:6b5YOgXIliAozdo49vUCJQ
Ziynet Sali,7zVYyYhGZxvPHPuhzReYHP,female,45,TR,['turkish pop'],58,1243434,spotify:artist:7zVYyYhGZxvPHPuhzReYHP
陈雪凝,7hhBMsiz3xH2GHj7tbRpgW,,0,,[],42,6934,spotify:artist:7hhBMsiz3xH2GHj7tbRpgW
Hins Cheung,2MVfNjocvNrE03cQuxpsWK,male,39,HK,['cantopop'],56,479813,spotify:artist:2MVfNjocvNrE03cQuxpsWK
Weird Genius,5B4kCOhcqTywB9YwXPfFtJ,mixed,0,IT,['indonesian edm'],49,449697,spotify:artist:5B4kCOhcqTywB9YwXPfFtJ
Alexander 23,6sFHvCyqklnJpXC9Nh1aag,male,25,,"['alt z', 'singer-songwriter pop']",58,411722,spotify:artist:6sFHvCyqklnJpXC9Nh1aag
Nik Nocturnal,1Gc5ZiJhqjQQcfvMTSCa3q,mixed,18,DK,['canadian metalcore'],49,91276,spotify:artist:1Gc5ZiJhqjQQcfvMTSCa3q
Shakka,7fqDRFkiuwzFDde1K0taVs,male,0,GB,['r&drill'],50,83397,spotify:artist:7fqDRFkiuwzFDde1K0taVs
Ulises Bueno,2UqRkW2wfEkZmyvKyTTv2W,male,35,,['cuarteto'],65,1760999,spotify:artist:2UqRkW2wfEkZmyvKyTTv2W
Jasmine Sandlas,0mJDQBWytBhOh5JB1DOQ1c,female,0,,"['desi pop', 'punjabi pop']",60,3216194,spotify:artist:0mJDQBWytBhOh5JB1DOQ1c
Męskie Granie Orkiestra 2021,5xoXMR6Y8PORwObvyND9ZE,mixed,10,,[],41,319611,spotify:artist:5xoXMR6Y8PORwObvyND9ZE
Aisyah Aziz,4DBXSxqzYS9jcuOpkn0Mh4,female,26,,"['malaysian pop', 'singaporean pop']",48,11440,spotify:artist:4DBXSxqzYS9jcuOpkn0Mh4
MOKABY,3AXI2Qfty5IVrmtQzi8weo,,0,,[],47,2077,spotify:artist:3AXI2Qfty5IVrmtQzi8weo
Swedish Jam Factory,599aGczoZFptUe5tbS43LT,,0,,[],40,1440,spotify:artist:599aGczoZFptUe5tbS43LT
Madhuri Dixit,0cGUyn1Hk4stZda7WqMAbS,female,53,IN,[],31,72589,spotify:artist:0cGUyn1Hk4stZda7WqMAbS
Calvin De Leon,3WyQJx169swY8v3htgAqaK,,0,,"['pinoy hip hop', 'tagalog rap']",49,23010,spotify:artist:3WyQJx169swY8v3htgAqaK
John Lundvik,11LbPHLi2sCqOVjknt0jmW,male,37,SE,['swedish pop'],37,25987,spotify:artist:11LbPHLi2sCqOVjknt0jmW
Boy Matthews,2jn9JOmdrR9BdiR1LTvYG4,male,32,,['uk dance'],42,3269,spotify:artist:2jn9JOmdrR9BdiR1LTvYG4
Stereoact,6dXL3SnQlCGX9LCUAyin6a,mixed,0,DE,"['german dance', 'german pop', 'schlager']",58,145760,spotify:artist:6dXL3SnQlCGX9LCUAyin6a
SoFaygo,2SJhf6rTOU53g8yBdAjPby,mixed,0,,"['glitchcore', 'plugg', 'rage rap']",60,687354,spotify:artist:2SJhf6rTOU53g8yBdAjPby
Dany Synthé,2zTuJejwDNORTLRCkQPbHy,male,0,FR,[],37,1250,spotify:artist:2zTuJejwDNORTLRCkQPbHy
Hassan Shamaizadeh,12TmVMYwkTjWDEPNhnDE4G,male,0,BG,"['classic persian pop', 'persian pop']",32,28281,spotify:artist:12TmVMYwkTjWDEPNhnDE4G
Johan Olsen,3iYvxketuV7AAPCJuWSDH2,male,51,DK,[],46,1380,spotify:artist:3iYvxketuV7AAPCJuWSDH2
Yo Yo Honey Singh,7uIbLdzzSEqnX0Pkrb56cR,male,36,IN,"['filmi', 'hindi hip hop', 'modern bollywood']",74,14846556,spotify:artist:7uIbLdzzSEqnX0Pkrb56cR
Mangoo,6ObeGN1qTsep95QRNOfNc3,mixed,0,FI,['swedish eurodance'],58,30359,spotify:artist:6ObeGN1qTsep95QRNOfNc3
Kenny Bee,1SnFcgaLa1l0bV8ZOEL3Cg,male,58,NL,"['c-pop', 'classic cantopop']",35,34636,spotify:artist:1SnFcgaLa1l0bV8ZOEL3Cg
LIAMOO,1SU2pMMSbU1hqWyFXp97Br,male,22,SE,"['swedish idol pop', 'swedish pop']",44,30977,spotify:artist:1SU2pMMSbU1hqWyFXp97Br
Black M,7lMgpN1tEBQKpRoUMKB8iw,male,35,FR,"['french pop', 'pop urbaine', 'rap conscient']",52,1843812,spotify:artist:7lMgpN1tEBQKpRoUMKB8iw
Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,mixed,13,,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie']",66,2365638,spotify:artist:536BYVgOnRky0xjsPT96zl
Isaiah the Wulf,65C9FdMeUVg5yRbNSmK1j0,,0,,['phonk'],40,7404,spotify:artist:65C9FdMeUVg5yRbNSmK1j0
Lord Siva,5SwsSD9zyWaWeVyK9qIW9l,male,0,DK,"['danish hip hop', 'danish pop']",44,35974,spotify:artist:5SwsSD9zyWaWeVyK9qIW9l
Pikku G,52k2KcEXIZTnYD2EpOoJiZ,male,33,FI,"['finnish dance pop', 'finnish hip hop', 'finnish pop']",37,31817,spotify:artist:52k2KcEXIZTnYD2EpOoJiZ
Yasser Desai,6RF8hEdlUKoLPQOHmBbHiM,male,30,IN,"['desi pop', 'filmi', 'modern bollywood']",60,1339046,spotify:artist:6RF8hEdlUKoLPQOHmBbHiM
Il Tre,4p5IspnsqtILeRtckOxumu,male,29,,"['italian hip hop', 'italian pop']",55,354220,spotify:artist:4p5IspnsqtILeRtckOxumu
FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,female,32,,"['afrofuturism', 'alternative r&b', 'art pop', 'escape room', 'experimental r&b', 'trip hop']",58,1185258,spotify:artist:6nB0iY1cjSY1KyhYyuIIKH
alt-J,3XHO7cRUPCLOr6jwp8vsx5,mixed,13,,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']",68,3232818,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,mixed,0,US,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",84,6449698,spotify:artist:1VPmR4DJC1PlOtd0IADAO0
Il Pagante,1vKXVGgIDP1XXZX4Tehjtn,mixed,10,IT,['italian pop'],50,310259,spotify:artist:1vKXVGgIDP1XXZX4Tehjtn
The Highwaymen,6e7QpHYqEiyJGiM98IysLa,mixed,21,US,"['country', 'outlaw country']",57,654704,spotify:artist:6e7QpHYqEiyJGiM98IysLa
Jone Quest,6wcKDqJRY3TzbcdRKo6EiE,male,0,PR,[],56,3758,spotify:artist:6wcKDqJRY3TzbcdRKo6EiE
Jason Futuristic,7vrimn274EqHxeJmY7Lcu9,,0,,[],30,495,spotify:artist:7vrimn274EqHxeJmY7Lcu9
Cledos,0xbbe6a1x6g5eGBQfzjWSe,male,21,,"['finnish hip hop', 'finnish trap']",55,46999,spotify:artist:0xbbe6a1x6g5eGBQfzjWSe
Carpenters,1eEfMU2AhEo7XnKgL7c304,mixed,52,US,"['adult standards', 'mellow gold', 'soft rock']",70,3051316,spotify:artist:1eEfMU2AhEo7XnKgL7c304
Sehabe,6P5Tw2kwv3BAa3iONsQe9x,male,0,TR,['turkish hip hop'],45,269849,spotify:artist:6P5Tw2kwv3BAa3iONsQe9x
badmómzjay,7oWrEQO1d3klp0Qrfh7a5h,female,0,DE,"['frauenrap', 'german drill', 'german hip hop']",63,357750,spotify:artist:7oWrEQO1d3klp0Qrfh7a5h
Paul Elstak,123hDJRbi4KtCdBaaKNHW6,male,54,NL,"['happy hardcore', 'hardcore techno', 'nederlandse hardstyle', 'nu gabber']",56,224678,spotify:artist:123hDJRbi4KtCdBaaKNHW6
Tego Calderón,3SUT1jjM5hzZj9TLfLZGIP,male,48,PR,"['latin hip hop', 'rap boricua', 'reggaeton', 'trap latino', 'urbano latino']",69,4538785,spotify:artist:3SUT1jjM5hzZj9TLfLZGIP
Pezet,4z93wkjfGntA0XFqnv4wj7,male,40,PL,['polish hip hop'],59,383544,spotify:artist:4z93wkjfGntA0XFqnv4wj7
Trevor Guthrie,6NXk2pLFocS2OkNdT7ncBt,male,47,CA,['canadian pop'],55,11804,spotify:artist:6NXk2pLFocS2OkNdT7ncBt
